Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Superior Die Set Corp,Miwaukee,133,20230922,CL,11/20/2023,Special Tool Die Jig & Fixture Mfg,Milwaukee,Milwaukee
Energizer Manufacturing,Fennimore,172,20231002,CL,12/1/2023,Prime Battery Mfg,Grant,Southwest
"NorthStar Medical Radioisotopes, LLC",Beloit,65,20231005,WR,10/11/2023,Surgical & Medical Instrument Mfg,Rock,Southwest
"NorthStar Medical Radioisotopes, LLC",Madison,28,20231005,WR,10/11/2023,Other Basic Inorganic Chem Mfg,Dane,South Central
Strauss Brands & Logistics,Franklin,127,20231011,WR,12/10/2023,Animal exc Poultry Slaughtering,Milwaukee,Milwaukee
"Dowco, Inc.",Manitowoc,53,20231016,WR,12/11/2023,Textile Bag & Canvas Mills,Manitowoc,Bay Area
"Process Retail Group, Inc.",New Berlin,66,20231016,CL,11/30/2023,Sign Mfg,Waukesha,WOW
BMO Bank N.A.,Milwaukee,44,20231017,WR,12/31/2023,Commercial Banking,Milwaukee,Milwaukee
Premier Staffing Inc,Appleton,223,20231024,CL,12/23/2023,Temporary Help Services,Outagamie,Bay Area
Best Western Premier Waterfront Hotel,Oshkosh,33,20231103,CL,1/31/2024,Hotels & Motels (excluding Casino Hotels),Winnebago,Fox Valley
Saputo Cheese USA Inc.,Belmont,187,20231109,CL,11/11/2023,Cheese Mfg.,Lafayette,Southwest
GoodFellaz Pizza,Spring Green,5,20231114,CL,10/9/2023,Full-service restaurants,Sauk,South Central
Transcontinental Packaging,Tomah,90,20231122,CL,1/15/2024,Paper Bag & Coated & Treated Paper Mfg,Monroe,Western
ProHealth Care Inc,"Waukesha, Oconomowoc, Mukwonago, Brookfield, New Berlin, Delafield, Pewaukee, Watertown, Muskego, Waterford, Sussex, Hartland",835,20231128,WR,1/27/2024,"General Medical & Surgical Hospitals, Managing Offices, Offices of Physicians exc Mental Health","Waukesha, Jefferson, Racine","WOW, South Central, Southeast"
Xcel Energy Inc,Eau Claire,28,20231129,WR,2/1/2024,Other Technical Consulting Services,Eau Claire,West Central
"Dovenmuehle Mortgage, Inc.",Brookfield,17,20231214,WR,2/16/2024,Mortgage & Nonmortgage Loan Brokers,Waukesha,WOW
Energizer Holdings Inc.,Portage,135,20240105,CL,3/5/2024,Prime Battery Mfg,Columbia,South Central
STRATATECH CORP,Madison,35,20240109,WR,1/9/2024,"Research & Dvlp in the Physical, Engg, & Life",Dane,South Central
Lost Boys Interactive LLC,Madison,12,20240112,WR,3/15/2024,Custom Computer Programming Services,Dane,South Central
Credit Union National Association (DBA America's Credit Union) (CORRECTED),Madison,38,20240113,WR,3/15/2024,Credit Unions,Dane,South Central
Prevea Clinic Inc,"Altoona, Eau Claire, Augusta",140,20240122,"CL, WR",3/22/2024,Offices of Physicians exc Mental Health,Eau Claire,West Central
Prevea Clinic Inc,Phillips,2,20240122,WR,3/22/2024,Offices of Physicians exc Mental Health,Price,Northwest
Prevea Clinic Inc,"Chippewa Falls, Cornell",103,20240122,CL,3/22/2024,,Chippewa,West Central
Prevea Clinic Inc,Menomonie,27,20240122,"CL, WR",3/22/2024,Offices of Physicians exc Mental Health,Dunn,West Central
Prevea Clinic Inc,Ladysmith,16,20240122,CL,3/22/2024,Offices of Physicians exc Mental Health,Rusk,Northwest
Prevea Clinic Inc,Rice Lake,30,20240122,CL,3/22/2024,Offices of Physicians exc Mental Health,Barron,West Central
Prevea Clinic Inc,Mondovi,5,20240122,CL,3/22/2024,Offices of Physicians exc Mental Health,Buffalo,Western
HSHS St. Joseph's Hospital Chippewa Falls,Chippewa Falls,244,20240123,CL,3/22/2024,"Offices of Physicians exc Mental Health, General Medical & Surgical Hospitals",Chippewa,West Central
HSHS St. Joseph's Hospital Chippewa Falls,Ladysmith,1,20240123,CL,3/22/2024,Offices of Physicians exc Mental Health,Rusk,Northwest
HSHS St. Joseph's Hospital Chippewa Falls,Rice Lake,2,20240123,CL,3/22/2024,Offices of Physicians exc Mental Health,Barron,West Central
Charter Communications,Milwaukee,173,20240129,WR,3/28/2024,Wired Telecommunications Carriers,Milwaukee,Milwaukee
Hospital Sisters Health System Sacred Heart Hospital of Eau Claire (SHEC),"Altoona, Eau Claire",821,20240123,CL,3/22/2024,General Medical and Surgical Hospitals,Eau Claire,West Central
Hospital Sisters Health System Sacred Heart Hospital of Eau Claire (SHEC),Mondovi,1,20240123,CL,3/22/2024,General Medical and Surgical Hospitals,Buffalo,Western
Hospital Sisters Health System Sacred Heart Hospital of Eau Claire (SHEC),Chippewa Falls,1,20240123,CL,3/22/2024,General Medical and Surgical Hospitals,Chippewa,West Central
Hospital Sisters Health System Sacred Heart Hospital of Eau Claire (SHEC),Menomonie,1,20240123,CL,3/22/2024,General Medical and Surgical Hospitals,Dunn,West Central
"Block, Inc.",Grafton,1,20240130,WR,3/30/2024,Engineering Services,Ozaukee,WOW
Rehabilitation Hospital of Western Wisconsin,Eau Claire,117,20240202,CL,4/2/2024,Specialty (except Psychiatric and Substance Abuse) Hospitals,Eau Claire,West Central
Hutchinson Technology Incorporated,Eau Claire,90,20240205,WR,4/5/2024,Computer Storage Device Mfg,Eau Claire,West Central
H & S MFG CO Inc,Clintonville,42,20240208,CL,4/4/2024,Farm Machinery & Equip Mfg,Waupaca,Fox Valley
Sheridan Wisconsin,Madison,116,20240212,CL,4/13/2024,Books Printing,Dane,South Central
ODW Logistics,Waukesha,107,20240214,CL,4/14/2024,General Warehousing & Storage,Waukesha,WOW
Saputo Cheese USA Inc,Lancaster,98,20240213,CL,3/29/2024,Cheese Mfg,Grant,Southwest
"ABS Global, GENUS INTELLIGEN TECHNOLOGIES (Windsor)","Windsor, Waunakee, Deforest",8,20240219,WR,4/19/2024,Support Activities for Animal Production,Dane,South Central
ABS Global,Poynette,36,20240219,WR,4/19/2024,Support Activities for Animal Production,Columbia,South Central
"Del Monte Foods, Inc.",Markesan,90,20240226,CL,4/26/2024,Fruit & Vegetable Canning,Green Lake,Fox Valley
DWF Wholesale Florists of Milwaukee,Milwaukee,8,20240227,CL,3/8/2024,Nursery & Florist Merch Whls,Milwaukee,Milwaukee
Lakeside Book Company,Menasha,339,20240227,CL,6/7/2024,Books Printing,Winnebago,Fox Valley
Nasco Healthcare,Jefferson,60,20231016,CL,12/8/2023,Other Professional Equip Merch Whls,Jefferson,South Central
Sierra Electrotek LLC,Oak Creek,37,20240227,CL,3/8/2024,Bare Printed Circuit Board Mfg,Milwaukee,Milwaukee
Continence & Pelvic Wellness Clinic,Mequon,1,20240313,CL,3/31/2024,Offices of Specialty Therapists,Ozaukee,WOW
"Zoomlion Heavy Industry NA, Inc.",Yorkville,31,20240320,WR,03/20/2024,Engineering Services,Racine,Southeast
Social Development Commission,"Milwaukee, West Allis",28,20240320,WR,3/21/2024,"Other Human Resource Programs Admin, Civic & Social Organizations, Other Individual & Family Services",Milwaukee,Milwaukee
"Interflight Parking, LLC",Milwaukee,53,20240326,CL,5/31/2024,Parking Lots & Garages,Milwaukee,Milwaukee
"Concordia University, Inc.",Mequon,24,20240401,WR,5/31/2024,Colleges & Universities,Ozaukee,WOW
Volta Charging Industries,San Francisco,1,20240401,CL,5/31/2024,Motor Vehicle Electric & Electronic Equip Mfg,N/A,N/A
"Conagra Brands, Inc.",Beaver Dam,252,20240408,CL,6/10/2024,Other Grocery Product Merch Whls,Dodge,South Central
Cadrex Manufacturing Solutions,"Dresser, Osceola",30,20240408,WR,4/11/2024,Sheet Metal Work Mfg,Polk,West Central
Walmart,Milwaukee,105,20240419,CL,7/26/2024,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
Sientra Inc.,Franklin,128,20240419,CL,6/18/2024,Medical Equip Merch Whls,Milwaukee,Milwaukee
"Staff Management Solutions, LLC",Sheboygan Falls,87,20240422,WR,5/3/2024,Temporary Help Services,Sheboygan,Bay Area
JELD-WEN Inc.,Hawkins,338,20240422,CL,6/10/2024,Wood Window & Door Mfg.,Rusk,Northwest
Jennie-O Turkey Store Inc.,Barron,38,20240424,CL,6/28/2024,Poultry Processing,Barron,West Central
Messmer Catholic Schools,Milwaukee,73,20240424,CL,6/30/2024,Elementary & Secondary Schools,Milwaukee,Milwaukee
"Radial, Inc.",N/A,63,20240501,WR,06/28/2024,Telemarketing Bureaus and Other Contract Centers,N/A,N/A
Kalmbach Media Co.,Waukesha,67,20240503,WR,7/1/2024,Periodical Publishers,Waukesha,WOW
Pace Industries LLC,Grafton,90,20240503,WR,6/15/2024,Aluminum Die Casting Foundries,Ozaukee,WOW
Charter Communications LLC,Madison,50,20240509,WR,7/8/2024,Wired Telecommunications Carriers,Dane,South Central
Mauser Packaging Solutions,Sturtevant,42,20240509,CL,7/27/2024,Metal Can Mfg,Racine,Southeast
"Sodexo, Inc and Affiliates",West Allis,51,20240521,CL,6/30/2024,Food Service Contractors,Milwaukee,Milwaukee
Ward Manufacturing,Milwaukee,62,20240523,CL,8/1/2024,Fabricated Pipe & Pipe Fitting Mfg,Milwaukee,Milwaukee
BRP US Inc.,Sturtevant,298,20240523,WR,3/21/2024,Other Engine Equip Mfg,Racine,Southeast
"Cygnus Home Service, LLC","Eau Claire, Marshfield, Rice Lake, Wausau",32,20240528,WR,7/27/2024,Packaged Frozen Food Merch Whls,"Eau Claire, Wood, Barron, Marathon","West Central, North Central"
Bon Appetit Management Company,Appleton,62,20240603,CL,6/17/2024,Food Service Contractors,Outagamie,Bay Area
Strauss Brands & Logistics,Franklin,70,20240604,CL,8/5/2024,Animal exc Poultry Slaughtering,Milwaukee,Milwaukee
Goodwill Manufacturing Inc,Milwaukee,136,20240604,CL,8/3/2024,Vocational Rehabilitation Services,Milwaukee,Milwaukee
"Poblocki Sign Company, LLC",West Allis,91,20240408,CL,6/7/2024,Sign Mfg,Milwaukee,Milwaukee
Sun Nuclear Corporation,Middleton,39,20240625,CL,8/30/2024,Engineering Services,Dane,South Central
Charter Communications LLC,Fond du Lac,122,20240628,WR,8/27/2024,Wired Telecommunications Carriers,Fond du Lac,Fox Valley
Baxter Healthcare Corp,Milwaukee,32,20240628,CL,8/30/2024,Druggists Goods Merch Whls,Milwaukee,Milwaukee
Equintiti Trust Company,Milwaukee,5,20240712,CL,9/30/2024,Securities Brokerage,Milwaukee,Milwaukee
"Cygnus Home Service, LLC",Fennimore,1,20240716,WR,9/14/2024,Packaged Frozen Food Merchant Wholesalers,Grant,Southwest
"Cygnus Home Service, LLC",Prairie du Sac,1,20240716,WR,9/14/2024,Packaged Frozen Food Merchant Wholesalers,Sauk,South Central
"Bradshaw Medical, Inc., dba Intech",Kenosha,37,20240729,WR,9/26/2024,Medical Equip Merch Whls,Kenosha,Southeast
Wisconsin Veneer and Plywood,Mattoon,42,20240801,CL,8/2/2024,Hardwood Veneer & Plywood Mfg.,Shawano,Bay Area
Birchwood Manufacturing,Rice Lake,46,20240801,CL,8/2/2024,Hardwood Veneer & Plywood Mfg.,Barron,West Central
Goodman Veneer & Lumber Company,Goodman,48,20240801,CL,8/2/2024,Hardwood Veneer & Plywood Mfg.,Marinette,Bay Area
Festival Foods,Greenfield,91,20240813,CL,11/4/2024,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
EYM Chicken of Wisconsin dba KFC,Janesville & Beloit,34,20240822,CL,8/18/2024,Limited-service restaurants,Rock,Southwest
EYM Chicken of Wisconsin dba KFC,Stoughton,12,20240822,CL,8/18/2024,Limited-service restaurants,Dane,South Central
EYM Chicken of Wisconsin dba KFC,Reedsburg,19,20240822,CL,8/18/2024,Limited-service restaurants,Sauk,South Central
EYM Chicken of Wisconsin dba KFC,Watertown,16,20240822,CL,8/18/2024,Limited-service restaurants,Jefferson,South Central
Charter Communications LLC,Madison,36,20240828,WR,10/28/2024,Wired Telecommunications Carriers,Dane,South Central
DHL Distribution,Sturtevant,32,20240830,CL,02/28/25,General Warehousing & Storage,Racine,Southeast
Lost Boys Interactive LLC,Madison,23,20240909,WR,09/09/2024,Custom Computer Programming Services,Dane,South Central
CNH Industrial America LLC,St. Nazianz,52,20240910,WR,11/14/2024,Farm Machinery & Equip Mfg,Manitowoc,Bay Area
Connexus Credit Union,Wausau,16,20240912,WR,11/11/2024,Credit Unions,Marathon,North Central
"Equiniti Trust Company, LLC",Milwaukee,8,20240917,WR,12/16/2024,Securities Brokerage,Milwaukee,Milwaukee
"Mayville Engineering Company, Inc.",Wautoma,43,20240919,CL,11/16/2024,Misc. Fabricated Metal Product Mfg.,Waushara,Fox Valley
"Cygnus Home Service, LLC",Fennimore,6,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,Grant,Southwest
"Cygnus Home Service, LLC",Fond du Lac,5,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,Fond du Lac,Fox Valley
"Cygnus Home Service, LLC",Franklin,13,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,Milwaukee,Milwaukee
"Cygnus Home Service, LLC",Green Bay,11,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,Brown,Bay Area
"Cygnus Home Service, LLC",Prairie du Sac,13,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,Sauk,South Central
"Cygnus Home Service, LLC",River Falls,8,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,St. Croix,West Central
"Cygnus Home Service, LLC",Sun Prairie,11,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,Dane,South Central
"Cygnus Home Service, LLC",West Salem,11,20240923,CL,11/22/2024,Packaged Frozen Food Merchant Wholesalers,La Crosse,Western
Solina USA,Oak Creek,88,20241009,CL,12/20/2024,Spice & Extract Mfg,Milwaukee,Milwaukee
Democratic Party of Wisconsin,"Madison, Milwaukee",249,20241016,WR,11/15/2024,Political Organizations,"Dane, Milwaukee","South Central, Milwaukee"
ALCOM LLC,Hartford,113,20241021,CL,1/12/2025,Travel Trailer & Camper Mfg,Washington,WOW
J BAUER TRUCKING,Medford,64,20241030,CL,12/31/2024,General Freight Trucking Long Distance TL,Taylor,Northwest
National Regency of New Berlin Inc.,"New Berlin, Muskego, Brookfield",279,20241031,CL,12/31/2024,Assisted Living Facilities for the Elderly,Waukesha,WOW
Packers Sanitation Services Inc Ltd,Kieler,83,20241101,CL,12/31/2024,Managing Offices,Grant,Southwest
Molson Coors Beverage Company USA,Milwaukee,34,20241106,CL,1/17/2025,Breweries,Miwaukee,Milwaukee
Molson Coors Beverage Company USA,Chippewa,56,20241106,CL,1/17/2025,Breweries,Chippewa,West Central
"Hultafors Group North America, LLC",Mequon,45,20241111,CL,3/28/2025,Saw Blade & Handtool Mfg,Ozaukee,WOW
Wisconsin Physicians Service Insurance Corporation (WPS),Madison,313,20241114,WR,1/21/2025,Direct Health & Medical Insurance Carriers,Dane,South Central
Advance Stores Co Inc,Milwaukee,51,20241115,CL,1/27/2025,Automotive Parts & Accessories Stores,Milwaukee,Milwaukee
"Barko Hydraulics, LLC",Superior,57,20241118,CL,12/1/2024,Construction Machinery Manufacturing,Douglas,Northwest
"Allied Plastics, LLC",Twin Lakes,132,20241212,WR,12/21/2024,All Other Plastics Product Mfg,Kenosha,Southeast
Guy & O'Neill Inc,Fredonia,196,20241230,CL,1/31/2025,Sanitary Paper Product Mfg,Ozaukee,WOW
"Genpact RW Services, Inc",Statewide-Remote Employees,54,20250109,WR,3/10/2025,Admin Management Consulting Services,Unknown,Unknown
SpartanNash,Chippewa Falls,45,20250115,CL,3/16/2025,Supermarkets & Other Grocery Stores,Chippewa,West Central
ORBIS Corporation,Menasha,109,20250115,CL,3/16/2025,All Other Plastics Product Mfg,Winnebago,Fox Valley
Air Wisconsin Airlines LLC,Milwaukee,219,20250130,WR,3/31/2025,Scheduled Passenger Air Transportation,Milwaukee,Milwaukee
Air Wisconsin Airlines LLC,Appleton,284,20250130,WR,3/31/2025,Scheduled Passenger Air Transportation,Outagamie,Bay Area
"Badger Truck and Automotive Group, Inc.",Milwaukee,40,20250203,CL,4/4/2025,Motor Vehicle Merch Whls,Milwaukee,Milwaukee
U-Line Corporation,Milwaukee,71,20250217,CL,7/31/2025,Major Household Appliance Manufacturing,Milwaukee,Milwaukee
Northlake Engineering,Bristol,36,20250227,CL,5/30/2025,Elect Coils Transformers & Inductors,Kenosha,Southeast
BH Security LLC,Milwaukee,1,20250317,WR,6/30/2025,Security Systems Services (except Locksmiths),Milwaukee,Milwaukee
Oxbo International Corporation,Clear Lake,68,20250327,CL,6/6/2025,Farm Machinery and Equipment Manufacturing,Polk,West Central
"Concordia University, Inc.",Mequon,5,20250331,WR,5/31/2025,Colleges & Universities,Ozaukee,WOW
Northland College,Ashland,112,20250401,CL,5/31/2025,Colleges & Universities,Ashland,Northwest
UPS,Holmen,42,20250404,CL,6/10/2025,Couriers & Express Delivery Services,La Crosse,Western
Midwest Perishables Inc.,Madison,50,20250406,CL,4/2/2025,Meat & Meat Product Merch Whls,Dane,South Central
ProTec Dynatronix,Amery,53,20250408,CL,4/28/2025,Misc Elect Equip Mfg,Polk,West Central
Air Wisconsin Airlines LLC,Milwaukee,11,20250410,WR,6/1/2025,Scheduled Passenger Air Transportation,Milwaukee,Milwaukee
Air Wisconsin Airlines LLC,Appleton,117,20250410,WR,6/1/2025,Scheduled Passenger Air Transportation,Outagamie,Bay Area
"Accelerate360 Distribution, LLC (Dakota Merchandising Remote Work Unit)",Statewide-Remote Employees,50,20250425,CL,6/28/2025,Book & Periodical Merch Whls,Unknown,Unknown
Truvant North America,Prairie du Chien,74,20250515,CL,7/15/2025,Packaging & Labeling Services,Crawford,Western
Silgan Containers Manufacturing Corp,Oconomowoc,56,20250521,CL,7/21/2025,Metal Can Mfg,Waukesha,WOW
"McDonald Plastic Molding, Inc.",Poynette,28,20250528,CL,6/27/2025,All Other Plastics Product Manufacturing,Columbia,South Central
"Milwaukee Job Corps Center (Horizons Youth Services, LLC)",Milwaukee,104,20250603,WR,6/6/2025,Other Technical & Trade Schools,Milwaukee,Milwaukee
BRP US Inc.,Sturtevant,61,20250605,WR,6/5/2025,Other Engine Equip Mfg.,Racine,Southeast
"Discovery Energy, LLC d/b/a Rehlko",Saukville,66,20250611,CL,8/8/2025,Other Engine Equip Mfg,Ozaukee,WOW
HyPro Inc.,Berlin,24,20250617,CL,8/15/2025,Machine Shops,Green Lake,Fox Valley
Milwaukee Forge LLC,Milwaukee,67,20250618,CL,8/18/2025,Iron & Steel Forging,Milwaukee,Milwaukee
Nasco Education LLC,Fort Atkinson,30,20250623,WR,8/22/2025,Other Professional Equipment and Supplies Merchant Wholesalers,Jefferson,South Central
Quick Motors,Milwaukee,16,20250624,CL,6/30/2025,Used Car Dealers,Milwaukee,Milwaukee
"Wisconsin Physicians Service Insurance Corporation (""WPS"")",Madison,51,20250627,WR,9/30/2025,Direct Health & Medical Insurance Carriers,Dane,South Central
StoneRidge Piggly Wiggly,Wautoma,56,20250709,CL,9/15/2025,Meat Markets,Waushara,Fox Valley
TouchPoint Services (aka Compass Group),Milwaukee,52,20250710,CL,8/1/2025,Food Service Contractors,Milwaukee,Milwaukee
CHS Inc,Superior,25,20250710,CL,9/8/2025,Farm Product Warehousing & Storage,Douglas,Northwest
"United States Cellular Corporation<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* DWD received this layoff notice after receiving the revision.</em>",Multiple,Unknown,20250709,WR,6/2/2025,Wireless Telecom Carriers (except Satellite),Multiple,Multiple
Krueger's True Value,Neenah,37,20250724,CL,10/14/2025,Hardware Stores,Winnebago,Fox Valley
"Renewed Hope Home Care, LLC",Milwaukee,50,20250804,CL,11/30/2025,Services for the Elderly & Disabled,Milwaukee,Milwaukee
"Equiniti Trust Company, LLC",Milwaukee,4,20250811,WR,11/14/2025,Securities Brokerage,Milwaukee,Milwaukee
ZeniMax Media Inc.,Madison,39,20250815,WR,9/1/2025,Software Publishers,Dane,South Central
"Saputo Cheese USA Inc<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* Layoff start date differs from notice; employer clarified phased layoffs will run Nov–Dec 2025, with exact dates still TBD.</em>",Suamico,240,20250905,CL,11/1/2025,Cheese Mfg,Brown,Bay Area
Air Wisconsin Airlines LLC (ATW),Appleton,127,20250905,WR,10/28/2025,Scheduled Passenger Air Transportation,Outagamie,Bay Area
Air Wisconsin Airlines LLC (MKE Hangar),Milwaukee,30,20250905,WR,10/28/2025,Scheduled Passenger Air Transportation,Milwaukee,Milwaukee
Air Wisconsin Airlines LLC (MKE),Milwaukee,84,20250905,WR,10/28/2025,Scheduled Passenger Air Transportation,Milwaukee,Milwaukee
360x Logistics LLC,Sturtevant,59,20250905,CL,10/4/2025,Couriers & Express Delivery Services,Racine,Southeast
"Pregis Innovative Packaging, LLC",Germantown,48,20250910,CL,4/30/2026,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,Washington,WOW
Sheridan Random Lake,Random Lake,104,20250923,CL,11/21/2025,Commercial Gravure Printing,Sheboygan,Bay Area
Action Printing (A JAL Equity Corp),Fond Du Lac,44,20250925,CL,8/7/2025,Newspaper Publishers,Fond du Lac,Fox Valley
"Wausau Equipment Company, LLC",New Berlin,67,20251008,CL,12/7/2025,Construction Machinery Mfg,Waukesha,WOW
"Xylem, Inc.",Waukesha,40,20251013,WR,10/13/2025,"Measuring, Dispensing & Oth Pumping Equip Mfg",Waukesha,WOW
The First Step Community Recovery Center,Milwaukee,85,20251024,CL,12/31/2025,Residential Mental & Substance Abuse Care,Milwaukee,Milwaukee
"Elior, Inc.",Oshkosh,155,20251103,CL,5/17/2026,Food Service Contractors,Winnebago,Fox Valley
"Daybreak Foods, Inc. (Cold Spring Farm)",Palmyra,65,20251105,WR,11/7/2025,Chicken Egg Production,Jefferson,South Central
"PrimeFlight Aviation Services, Inc.",Milwaukee,27,20251109,CL,1/9/2026,Other Airport Operations,Milwaukee,Milwaukee
Superior YMCA,Superior,112,20251113,WR,12/31/2025,Civic & Social Organizations,Douglas,Northwest
"Kroger Fulfillment Network, LLC",Pleasant Prairie,211,20251118,CL,2/1/2026,General Warehousing & Storage,Kenosha,Southeast
Nordstrom,N/A,1,20251119,WR,3/1/2026,Credit Card Issuing,N/A,N/A
